,제목,별점,사람,기타정보,상영시간
34002,영광의 100분,0.5,1,['2004 ・ 드라마 ・ 크로아티아'],1시간 40분
34003,,0,0,[],
34004,SUBHUMAN,1.0,1,['2004'],1시간 30분
34006,웨어 데얼스 스모크,2.5,1,['1973 ・ 드라마 ・ 이탈리아 ・ 프랑스'],2시간 00분
34007,,0,0,[],
34008,Love on a Bet,0,0,['1936'],
34009,셰이프 오브 뮤직: 알렉상드르 데스플라,3.3,164,['2018 ・ 다큐멘터리 ・ 프랑스'],
34011,킬러 광대,2.5,394,['2012 ・ 코미디 ・ 아일랜드'],1시간 26분
34012,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,3.8,"4,756",['2017 ・ 판타지 ・ 일본'],
34013,51구역의 비밀,2.3,14,['2011 ・ SF ・ 미국'],1시간 22분
34014,기인결정아애니,2.0,11,['2007 ・ 대만'],
34015,,0,0,[],
34016,,0,0,[],
34018,향수 - 어느 살인자의 이야기,3.7,54만,['2006 ・ 범죄 ・ 독일 ・ 프랑스 ・ 스페인 ・ 미국'],
34020,찰칵 찰칵,3.4,29,['2017 ・ 애니메이션 ・ 한국'],
34021,to be a woman?,0,0,['한국'],
34022,낫 이븐 낫띵 캔 비 프리 오브 고스츠,0,0,['2016 ・ 독일 ・ 오스트리아'],11분
34023,어둠이 오기 전에,3.5,88,['2016 ・ 다큐멘터리 ・ 버진아일랜드(미국령 버진 군도) ・ 아일랜드'],
34024,18禁 린코 2,3.1,8,['2009 ・ 코미디 ・ 일본'],1시간 17분
34026,,0,0,[],
34027,크래클 오브 타임 - 크리스토프 슐링엔지프 앤 히즈 오페라 빌리지 인 부르키나파소,0,0,['2012 ・ 다큐멘터리 ・ 오스트리아 ・ 독일'],1시간 46분
34028,,0,0,[],
34029,,0,0,[],
34030,,0,0,[],
34031,네버 렛 미 고,3.5,2만,['2010 ・ 드라마 ・ 영국 ・ 미국'],
34032,,0,0,[],
34033,내 방 안의 나나,3.0,5,['2012 ・ 애니메이션 ・ 한국'],7분
34034,,0,0,[],
34035,후오 얀 샨 라이 드 구 쇼우,4.2,3,['1991 ・ 가족 ・ 중국'],
34036,,0,0,[],
34038,,0,0,[],
34039,,0,0,[],
34041,그 여름 가장 조용한 바다,3.9,"5,547",['1991 ・ 로맨스 ・ 일본'],
34042,나의 히어로 아카데미아 더 무비: 두 명의 히어로,3.3,962,['2018 ・ 코미디 ・ 일본'],1시간 36분
34046,A Trip to the City,0,0,['2003 ・ 드라마'],
34048,,0,0,[],
34051,샤워실의 딸친구,0,0,['2018 ・ 성인 ・ 일본'],55분
34052,레이디 인 더 카,2.4,305,['2015 ・ 스릴러 ・ 프랑스 ・ 벨기에'],
34053,컴플라이언스,3.1,"7,835",['2012 ・ 범죄 ・ 미국'],
34056,집으로 가는 길,3.6,18만,['2013 ・ 드라마 ・ 한국'],
34060,Dragon Ball Z: Light of Hope,0,0,['2014 ・ 드라마'],
34068,,0,0,[],
34069,온나자카리,3.5,1,['1994 ・ 일본'],1시간 58분
34070,,0,0,[],
34072,,0,0,[],
34074,스파이더맨 2,3.7,51만,['2004 ・ 액션 ・ 미국'],
34076,만신,3.4,"9,346",['2013 ・ 다큐멘터리 ・ 한국'],1시간 44분
34078,,0,0,[],
34081,,0,0,[],
34084,모래의 여자,3.9,931,['1964 ・ 드라마 ・ 일본'],2시간 27분
34085,언고(UN-GO) 극장판 에피소드: 0 인과론,3.1,61,['2011 ・ 애니메이션 ・ 일본'],
34086,아이언맨 3,4.1,103만,['2013 ・ SF ・ 미국'],
34089,아담스 애플,3.1,"1,506",['2005 ・ 드라마 ・ 독일 ・ 덴마크'],1시간 34분
34092,쉘,0,0,['2003 ・ 판타지 ・ 한국'],6분
34094,그 날에...,2.8,13,['2003 ・ 판타지 ・ 한국'],6분
34095,조인트,0,0,['2003 ・ 판타지 ・ 한국'],8분
34096,래더 49,3.4,"3,793",['2004 ・ 드라마 ・ 미국'],1시간 54분
34098,"10,000 BC",2.7,4만,['2008 ・ 드라마 ・ 미국'],
34099,8.5 아워스,0,0,['2008 ・ 드라마 ・ 아일랜드'],1시간 52분
34100,당신이 버린 개에 관한 이야기,3.3,28,['2012 ・ 애니메이션 ・ 한국'],5분
34102,낭심여철,0,0,['1993 ・ 홍콩'],
34103,절청풍운 3,3.3,16,['2014 ・ 범죄 ・ 중국 ・ 홍콩'],2시간 11분
34106,20세기 소년 - 제2장: 마지막 희망,2.6,"3,221",['2008 ・ 드라마 ・ 일본'],2시간 20분
34107,마귀천사,0,0,['1990 ・ 홍콩'],
34114,,0,0,[],
34115,집으로 가는 길,3.6,18만,['2013 ・ 드라마 ・ 한국'],
34116,그 여름 가장 조용한 바다,3.9,"5,547",['1991 ・ 로맨스 ・ 일본'],
34117,잃어버린 세계를 찾아서 2 : 신비의 섬,2.9,3만,['2011 ・ 액션 ・ 미국'],1시간 34분
34118,,0,0,[],
34119,,0,0,[],
34120,7번방의 선물,3.9,162만,['2012 ・ 드라마 ・ 한국'],
34124,,0,0,[],
34129,앨런 파트리지: 알파 파파,3.0,28,['2013 ・ 코미디 ・ 프랑스 ・ 영국'],1시간 30분
34130,안녕히 잘 가시게...,1.5,2,['2006 ・ 드라마 ・ 한국'],13분
34132,꼬끼오,5.0,1,['2002 ・ 애니메이션 ・ 한국'],12분
34133,트레스패스,2.6,"2,158",['2011 ・ 범죄 ・ 미국 ・ 불가리아'],
34134,,0,0,[],
34140,적인걸 더 파이널,2.8,59,['2020 ・ 액션 ・ 중국'],
34143,스틸 라이프,3.8,1만,['2006 ・ 드라마 ・ 중국 ・ 홍콩'],
34145,,0,0,[],
34147,지슬 - 끝나지 않은 세월2,3.8,3만,['2012 ・ 드라마 ・ 한국'],1시간 48분
34148,멋진 하루,3.5,9만,['2008 ・ 로맨스 ・ 한국'],
34149,가로수의 합창,2.5,10,['1968 ・ 한국'],1시간 35분
34150,우리 결혼해요,3.0,1,['2007 ・ 드라마 ・ 한국'],18분
34151,구혼 광고,2.3,3,['1991 ・ 드라마 ・ 미국'],1시간 40분
34152,,0,0,[],
34153,,0,0,[],
34154,,0,0,[],
34155,삼총사 : 용감한 친구들,3.1,193,['2011 ・ 애니메이션 ・ 이탈리아 ・ 한국'],
34156,,0,0,[],
34157,넬라 판타지아,0,0,['2012 ・ 오스트리아'],55분
34158,용감위 2 - 지황모낭낭니,0,0,['2005 ・ 홍콩'],1시간 41분
34159,밀레니엄 3 : 벌집을 발로 찬 소녀,3.6,"5,568",['2009 ・ 범죄 ・ 스웨덴 ・ 덴마크 ・ 독일'],
34160,기인결정아애니,2.0,11,['2007 ・ 대만'],
34161,,0,0,[],
34162,천국의 우편배달부,2.6,2만,['2009 ・ 로맨스 ・ 한국'],
34165,,0,0,[],
34166,,0,0,[],
34167,알터 에고스,1.0,1,['2012 ・ 코미디 ・ 미국'],1시간 20분
34168,,0,0,[],
34169,"하루, 발자국",2.5,1,['2018 ・ 다큐멘터리 ・ 한국'],21분
34170,무법무천,0,0,['2000 ・ 홍콩'],
34171,,0,0,[],
34172,미워 미워 미워,1.7,3,['1982 ・ 한국'],1시간 29분
34174,반드시 크게 들을 것 2 : WILD DAYS,2.9,"1,705",['2012 ・ 음악 ・ 한국'],
34175,,0,0,[],
34176,,0,0,[],
34177,스테이트 오브 이머전시,3.1,9,['2011 ・ 스릴러 ・ 미국'],1시간 30분
34178,,0,0,[],
34179,,0,0,[],
34181,마음이 2,3.3,11만,['2010 ・ 코미디 ・ 한국'],
34183,레벌레이션 로드2,2.0,6,['2013 ・ 액션 ・ 미국'],
34184,,0,0,[],
34185,중국영화의 어제와 오늘,3.0,1,['2006 ・ 다큐멘터리 ・ 한국'],1시간 1분
34187,친구엄마 : 참을 수 없는 날 2,0,0,['2018 ・ 성인 ・ 한국'],1시간 4분
34188,,0,0,[],
34189,요술 신발,2.5,5,['2005 ・ 애니메이션 ・ 네덜란드'],13분
34190,오싹한 연애,3.2,57만,['2011 ・ 코미디 ・ 한국'],
34191,,0,0,[],
34192,조선미녀삼총사,1.9,4만,['2013 ・ 시대극 ・ 한국'],
34193,,0,0,[],
34195,제3공작,2.3,8,['1978 ・ 한국'],1시간 30분
34196,페인트 캔스,0.5,1,['1994 ・ 코미디 ・ 캐나다'],1시간 40분
34198,내 아기의 아빠,0.8,2,['2004 ・ 코미디 ・ 미국'],1시간 39분
34211,,0,0,[],
34214,뜨거운 차 한잔,3.3,35,['1989 ・ 로맨스 ・ 미국'],1시간 42분
34216,,0,0,[],
34226,28 1/2 妄想の巨人,0,0,['2009'],1시간 36분
34228,나니아 연대기: 새벽 출정호의 항해,3.5,22만,['2010 ・ 모험 ・ 미국 ・ 영국'],
34230,,0,0,[],
34231,,0,0,[],
34235,더 레이븐,2.9,1만,['2012 ・ 범죄 ・ 미국 ・ 스페인 ・ 헝가리'],
34236,공허충,2.6,234,['2018 ・ 한국'],
34237,나비를 찍다,0,0,['2001 ・ 드라마 ・ 한국'],20분
34239,Chalk,0,0,['2007 ・ 다큐멘터리'],
34240,,0,0,[],
34241,,0,0,[],
34243,,0,0,[],
34245,신과 나눈 이야기,2.8,"1,017",['2006 ・ 드라마 ・ 미국'],1시간 48분
34249,끝까지 간다,3.8,65만,['2013 ・ 범죄 ・ 한국'],
34250,줄리 & 베티,0,0,['2002 ・ 판타지 ・ 한국'],7분
34252,,0,0,[],
34253,우리집,3.8,2만,['2019 ・ 드라마 ・ 한국'],
34258,,0,0,[],
34260,영구와 황금박쥐,2.8,707,['1991 ・ 한국'],
34261,,0,0,[],
34262,,0,0,[],
34264,케이온! 극장판,3.6,1만,['2011 ・ 애니메이션 ・ 일본'],1시간 50분
34267,,0,0,[],
34269,,0,0,[],
34277,빨간 망토 소녀,2.4,25,['2013 ・ 공포 ・ 독일'],17분
34280,11월,2.5,2,['2014 ・ 로맨스 ・ 한국'],20분
34283,기기괴괴 성형수,2.9,"2,261",['2020 ・ 공포 ・ 한국'],1시간 25분
34287,,0,0,[],
34293,,0,0,[],
34294,우주에서 물구나무서기,2.9,201,['2010 ・ 한국'],24분
34295,흥부: 글로 세상을 바꾼 자,2.6,1만,['2017 ・ 드라마 ・ 한국'],
34296,룸 514,0,0,['2012 ・ 드라마 ・ 이스라엘'],1시간 30분
34299,써클,1.9,243,['2003 ・ 스릴러 ・ 한국'],
34300,로렉스,3.4,1만,['2012 ・ 애니메이션 ・ 미국 ・ 프랑스'],
34302,,0,0,[],
34303,몬스터스 돈 겟 투 크라이,0,0,['2007 ・ 스릴러 ・ 일본'],
34304,해피 에로 크리스마스,1.8,"3,185",['2003 ・ 로맨틱코미디 ・ 한국'],1시간 59분
34305,,0,0,[],
34306,3억원에 낙찰된 여자,2.5,71,['2012 ・ 일본'],1시간 13분
34307,황제펭귄 펭이와 솜이,3.1,"1,418",['2012 ・ 다큐멘터리 ・ 한국'],1시간 19분
34308,,0,0,[],
34313,,0,0,[],
34322,My Name Is Juani,0,0,['2006 ・ 드라마 ・ 스페인'],1시간 40분
34323,고지전,3.5,57만,['2011 ・ 드라마 ・ 한국'],
34333,형사 가제트 크리스마스를 구하다,3.1,193,['1992 ・ 코미디 ・ 미국'],30분
34334,,0,0,[],
34335,형사 가제트의 최대의 사건,2.7,400,['2005 ・ 코미디 ・ 미국'],1시간 30분
34336,카잭,0,0,['2011 ・ 액션 ・ 미국'],16분
34337,고스트 라이더 3D : 복수의 화신,2.8,6만,['2011 ・ 액션 ・ 미국 ・ 아랍 에미레이트 연합'],
34338,할리우드 홍콩,3.2,15,['2001 ・ 홍콩 ・ 프랑스 ・ 일본'],1시간 48분
34342,,0,0,[],
34343,가면라이더 x 가면라이더 - 포제 & 오즈 MOVIE 대전 MEGA MAX,2.8,330,['2011 ・ 액션 ・ 일본'],1시간 35분
34344,로인,3.8,2,['2008 ・ 드라마 ・ 한국'],10분
34345,겐지 모노가타리: 천년의 수수께끼,2.5,256,['2011 ・ 드라마 ・ 일본'],2시간 16분
34358,헬로우 스트레인저,2.9,29,['2006 ・ 드라마 ・ 한국'],24분
34359,야반일점종,0.5,1,['1996 ・ 홍콩'],
34364,Rovaniemi Records,0,0,['2008 ・ 애니메이션 ・ 한국'],4분
