제목,개봉일,국가,장르,별점,네티즌수
플란다스의 개,2000-02-19,한국,코미디,7.2,110
카라,1999-09-18,한국,로맨스/멜로/판타지,6.7,21
주노명 베이커리,2000-01-15,한국,드라마,5.8,13
여고괴담 두번째 이야기,1999-12-24,한국,공포,8.6,67
행복한 장의사,2000-01-08,한국,코미디,7.9,45
춘향뎐,2000-01-29,한국,시대극/로맨스/멜로,8.0,34
반칙왕,2000-02-04,한국,코미디,8.3,78
연풍연가,1999-02-13,한국,로맨스/멜로,8.4,40
러브,1999-09-18,한국,가족/로맨스/멜로/드라마,6.2,13
자귀모,1999-08-14,한국,판타지/드라마,5.6,7
거짓말,2000-01-08,한국,성인/드라마,6.1,67
세기말,1999-12-11,한국,드라마,7.0,30
해피 엔드,1999-12-11,한국,로맨스/멜로/스릴러,8.2,99
박하사탕,2018-04-26,한국,드라마,9.1,312
삼양동 정육점,1999-11-27,한국,드라마/스릴러,7.1,9
벌이 날다,1999-12-24,타지키스탄,드라마,8.5,2
신장개업,1999-05-01,한국,코미디/공포,7.9,46
죽이는 이야기,1998-01-01,한국,코미디,4.5,6
화이트 발렌타인,1999-02-13,한국,로맨스/멜로,6.7,17
정,2000-06-17,한국,시대극,9.0,66
8월의 크리스마스,2013-11-06,한국,로맨스/멜로,9.3,621
러브 러브,1998-01-24,한국,로맨스/멜로/범죄/액션/미스터리/판타지/드라마,3.9,7
마요네즈,1999-02-13,한국,드라마,7.8,6
댄스 댄스,1999-09-18,한국,로맨스/멜로,7.1,8
텔 미 썸딩,1999-11-13,한국,범죄/스릴러,8.2,65
송어,1999-11-06,한국,스릴러,7.7,24
노랑머리,1999-06-26,한국,성인/드라마,6.1,31
인정사정 볼 것 없다,1999-07-31,한국,액션/드라마,8.1,118
주유소 습격사건,1999-10-02,한국,코미디/액션,7.6,128
질주,1999-08-28,한국,로맨스/멜로,8.2,4
유령,1999-07-31,한국,전쟁,7.3,51
간첩 리철진,1999-05-15,한국,코미디,7.6,39
링,1999-06-12,한국,판타지,5.7,11
산전수전,1999-02-27,한국,코미디,5.4,13
얼굴,1999-05-29,한국,범죄,3.9,8
용가리,2001-01-20,한국,액션/SF/판타지,5.4,52
넘버 3,1997-08-02,한국,코미디/범죄/액션,8.5,99
나쁜 영화,1997-08-02,한국,다큐멘터리/드라마,5.5,23
