,제목,별점,사람,기타정보,상영시간
11,마이클 콜린스,3.3,"1,285",['1996 ・ 드라마 ・ 영국 ・ 미국 ・ 아일랜드'],2시간 12분
20,브레이킹 더 웨이브,3.9,"3,170",['1996 ・ 드라마 ・ 덴마크 ・ 스웨덴 ・ 프랑스 ・ 네덜란드 ・ 영국 ・ 스페인 ・ 아이슬란드 ・ 노르웨이'],
39,싸일런 나잇,3.0,1,['1995 ・ 로맨스 ・ 독일 ・ 스위스'],1시간 23분
47,안토니아스 라인,4.0,"4,027",['1995 ・ 가족 ・ 네덜란드 ・ 벨기에 ・ 영국 ・ 프랑스'],
53,샤도우 프로그램,2.3,85,['1997 ・ 액션 ・ 미국'],
67,토탈 리콜,3.7,11만,['1990 ・ 액션 ・ 미국'],
69,모험왕,2.8,"2,398",['1995 ・ 코미디 ・ 홍콩'],
83,떼레즈 라껭,3.5,96,['1953 ・ 로맨스 ・ 이탈리아 ・ 프랑스'],1시간 42분
84,이 소년의 삶,3.4,"1,796",['1993 ・ 드라마 ・ 미국'],1시간 55분
86,스타워즈 에피소드 4: 새로운 희망,3.9,10만,['1977 ・ SF ・ 미국'],
95,징기스칸,2.4,26,['1956 ・ 시대극 ・ 미국'],1시간 51분
101,버드가의 섬,4.1,80,['1997 ・ 독일 ・ 영국 ・ 덴마크'],1시간 47분
105,,0,0,[],
107,,0,0,[],
115,LA 탈출,2.8,"2,773",['1996 ・ 액션 ・ 미국'],1시간 41분
119,델타 포스 3,1.9,10,['1991 ・ 액션 ・ 미국'],1시간 37분
122,그녀는 악마,2.8,65,['1989 ・ 코미디 ・ 미국'],1시간 39분
125,사랑 게임,2.7,172,['1995 ・ 로맨틱코미디 ・ 미국'],1시간 45분
127,라 카사 델 라고,0,0,['2011 ・ 단편 ・ 스페인'],
128,까마귀 기르기,3.9,763,['1976 ・ 드라마 ・ 스페인'],1시간 50분
129,동방흑협,2.7,23,['1992 ・ 액션 ・ 홍콩'],
135,블러드 심플,3.7,"6,277",['1984 ・ 범죄 ・ 미국'],
144,단테스 피크,3.3,3만,['1997 ・ 액션 ・ 미국'],
146,마이크로코스모스,3.5,"5,292",['1996 ・ 다큐멘터리 ・ 프랑스 ・ 스위스 ・ 이탈리아'],
